// Creator: RBR Ltd.
// Create time: 2025-06-13T10:23:16
// Instrument model firmware and serialID: RBRmaestro3 1.148 231853
// Sample period: 0.5 second
// Processing history:
//	/home/epoirier/Documents/PROJETS/2025/Proc_RBR_Somlit/rawdata/maestroP2I_231853_20240130_rebuilt.rsk opened using pyRSKtools v1.1.1.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Zero-order hold corrected for channel(s) conductivity, temperature, pressure, temperature1, dissolved_o2_concentration, par, ph, chlorophyll-a, fdom, turbidity, sea_pressure, depth, salinity, speed_of_sound, specific_conductivity, dissolved_o2_saturation. Hold points were treated with interp.
//	Depth calculated using the TEOS-10 library and a latitude of 48.35 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Remove loops with the threshold of 0.05 m/s.
//	Sea pressure calculated using an atmospheric pressure of 10.1325 dbar.
//	Depth calculated using the TEOS-10 library and a latitude of 45.0 degrees
//	Profiling velocity calculated from depth, filtered with a windowLength of 3 samples.
//	Practical Salinity derived using TEOS-10 library
//	Potential density anomaly derived using the TEOS-10 library.
//	Binned with respect to depth using [12.     0.625] boundaries with [0.25] m bin size.
// Comment: up CAST

// timestamp(yyyy-mm-ddTHH:MM:ss.FFF),    temperature(°C),    chlorophyll-a(ug/l),    par(µMol/m²/s),    conductivity(mS/cm),    dissolved_o2_concentration(µmol/L),    turbidity(FTU),    salinity(PSU),    depth(m),    density_anomaly(kg/m³),    cast_direction
2024-01-30T08:58:01.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.625,    nan,    u
2024-01-30T08:58:01.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    9.875,    nan,    u
2024-01-30T08:58:01.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.125,    nan,    u
2024-01-30T08:58:01.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.375,    nan,    u
2024-01-30T08:58:01.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.625,    nan,    u
2024-01-30T08:58:01.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    10.875,    nan,    u
2024-01-30T08:58:01.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.125,    nan,    u
2024-01-30T08:58:01.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.375,    nan,    u
2024-01-30T08:58:01.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.625,    nan,    u
2024-01-30T08:58:01.500,    nan,    nan,    nan,    nan,    nan,    nan,    nan,    11.875,    nan,    u
